,equipo,nit,news_id,participacion,categoria
0,enelpi,900378212,news10006,Sector,Macroeconomia
1,enelpi,900378212,news10011,Sector,Regulacion
2,enelpi,900378212,news10015,No Aplica,Descartable
3,enelpi,900378212,news10189,No Aplica,Descartable
4,enelpi,900378212,news10192,No Aplica,Descartable
5,enelpi,900378212,news10194,No Aplica,Innovacion
6,enelpi,900378212,news10198,No Aplica,Descartable
7,enelpi,900378212,news10201,No Aplica,Regulacion
8,enelpi,900378212,news10240,Sector,Macroeconomia
9,enelpi,900378212,news10276,No Aplica,Descartable
10,enelpi,900378212,news10299,Sector,Macroeconomia
11,enelpi,900378212,news10323,Cliente,Macroeconomia
12,enelpi,900378212,news10449,No Aplica,Sostenibilidad
13,enelpi,900378212,news10511,Sector,Macroeconomia
14,enelpi,900378212,news10518,No Aplica,Macroeconomia
15,enelpi,900378212,news10521,Sector,Macroeconomia
16,enelpi,900378212,news10525,No Aplica,Regulacion
17,enelpi,900378212,news10527,Sector,Macroeconomia
18,enelpi,900378212,news10528,No Aplica,Descartable
19,enelpi,900378212,news10588,No Aplica,Regulacion
20,enelpi,900378212,news10591,Sector,Macroeconomia
21,enelpi,900378212,news10620,No Aplica,Descartable
22,enelpi,900378212,news10775,Sector,Macroeconomia
23,enelpi,900378212,news14869,No Aplica,Descartable
24,enelpi,900378212,news15734,No Aplica,Macroeconomia
25,enelpi,900378212,news16710,No Aplica,Macroeconomia
26,enelpi,900378212,news17225,Sector,Macroeconomia
27,enelpi,900378212,news19211,Sector,Macroeconomia
28,enelpi,900378212,news22073,No Aplica,Descartable
29,enelpi,900378212,news22077,Sector,Macroeconomia
30,enelpi,900378212,news22091,No Aplica,Macroeconomia
31,enelpi,900378212,news22093,Sector,Macroeconomia
32,enelpi,900378212,news24672,No Aplica,Innovacion
33,enelpi,900378212,news25273,Sector,Innovacion
34,enelpi,900378212,news30140,No Aplica,Innovacion
35,enelpi,900378212,news36881,No Aplica,Innovacion
36,enelpi,900378212,news39009,No Aplica,Descartable
37,enelpi,900378212,news40551,No Aplica,Innovacion
38,enelpi,900378212,news41876,Sector,Macroeconomia
39,enelpi,900378212,news43527,No Aplica,Descartable
40,enelpi,900378212,news44394,Sector,Macroeconomia
41,enelpi,900378212,news44405,No Aplica,Macroeconomia
42,enelpi,900378212,news44406,No Aplica,Descartable
43,enelpi,900378212,news44407,Sector,Macroeconomia
44,enelpi,900378212,news44418,No Aplica,Innovacion
45,enelpi,900378212,news44429,No Aplica,Innovacion
46,enelpi,900378212,news44430,Sector,Innovacion
47,enelpi,900378212,news44432,No Aplica,Innovacion
48,enelpi,900378212,news44436,No Aplica,Innovacion
49,enelpi,900378212,news44438,No Aplica,Macroeconomia
50,enelpi,900378212,news44446,No Aplica,Macroeconomia
51,enelpi,900378212,news44454,No Aplica,Descartable
52,enelpi,900378212,news44465,No Aplica,Macroeconomia
53,enelpi,900378212,news44469,No Aplica,Macroeconomia
54,enelpi,900378212,news44472,Sector,Macroeconomia
55,enelpi,900378212,news44478,Sector,Macroeconomia
56,enelpi,900378212,news44481,Sector,Macroeconomia
57,enelpi,900378212,news44482,No Aplica,Macroeconomia
58,enelpi,900378212,news44486,No Aplica,Macroeconomia
59,enelpi,900378212,news44488,Sector,Macroeconomia
60,enelpi,900378212,news44500,No Aplica,Macroeconomia
61,enelpi,900378212,news44503,No Aplica,Macroeconomia
62,enelpi,900378212,news44510,No Aplica,Macroeconomia
63,enelpi,900378212,news44511,No Aplica,Innovacion
64,enelpi,900378212,news44512,No Aplica,Innovacion
65,enelpi,900378212,news44521,No Aplica,Descartable
66,enelpi,900378212,news44526,No Aplica,Innovacion
67,enelpi,900378212,news44529,No Aplica,Descartable
68,enelpi,900378212,news44532,No Aplica,Innovacion
69,enelpi,900378212,news44533,No Aplica,Regulacion
70,enelpi,900378212,news44540,No Aplica,Innovacion
71,enelpi,900378212,news44542,No Aplica,Innovacion
72,enelpi,900378212,news44543,No Aplica,Reputacion
73,enelpi,900378212,news44544,No Aplica,Macroeconomia
74,enelpi,900378212,news44547,No Aplica,Innovacion
75,enelpi,900378212,news44552,No Aplica,Macroeconomia
76,enelpi,900378212,news44553,No Aplica,Innovacion
77,enelpi,900378212,news44558,No Aplica,Innovacion
78,enelpi,900378212,news44559,Sector,Macroeconomia
79,enelpi,900378212,news44566,No Aplica,Reputacion
80,enelpi,900378212,news44568,No Aplica,Descartable
81,enelpi,900378212,news44583,No Aplica,Macroeconomia
82,enelpi,900378212,news44585,No Aplica,Macroeconomia
83,enelpi,900378212,news44586,No Aplica,Descartable
84,enelpi,900378212,news44587,No Aplica,Regulacion
85,enelpi,900378212,news44590,No Aplica,Descartable
86,enelpi,900378212,news44591,No Aplica,Macroeconomia
87,enelpi,900378212,news44593,No Aplica,Macroeconomia
88,enelpi,900378212,news44595,No Aplica,Descartable
89,enelpi,900378212,news44599,No Aplica,Macroeconomia
90,enelpi,900378212,news44600,No Aplica,Descartable
91,enelpi,900378212,news44603,No Aplica,Descartable
92,enelpi,900378212,news44605,No Aplica,Descartable
93,enelpi,900378212,news44609,No Aplica,Innovacion
94,enelpi,900378212,news44612,No Aplica,Reputacion
95,enelpi,900378212,news44615,No Aplica,Macroeconomia
96,enelpi,900378212,news44618,No Aplica,Descartable
97,enelpi,900378212,news44626,No Aplica,Macroeconomia
98,enelpi,900378212,news44636,No Aplica,Innovacion
99,enelpi,900378212,news44641,No Aplica,Macroeconomia
100,enelpi,900378212,news44643,No Aplica,Macroeconomia
101,enelpi,900378212,news44646,Sector,Regulacion
102,enelpi,900378212,news44651,No Aplica,Macroeconomia
103,enelpi,900378212,news44652,No Aplica,Innovacion
104,enelpi,900378212,news44655,No Aplica,Innovacion
105,enelpi,900378212,news44660,No Aplica,Macroeconomia
106,enelpi,900378212,news44667,No Aplica,Innovacion
107,enelpi,900378212,news44669,No Aplica,Descartable
108,enelpi,900378212,news44671,No Aplica,Innovacion
109,enelpi,900378212,news44675,Sector,Macroeconomia
110,enelpi,900378212,news44801,No Aplica,Macroeconomia
111,enelpi,900378212,news44836,Cliente,Macroeconomia
112,enelpi,900378212,news45638,No Aplica,Reputacion
113,enelpi,900378212,news45639,No Aplica,Innovacion
114,enelpi,900378212,news45645,No Aplica,Macroeconomia
115,enelpi,900378212,news45646,No Aplica,Descartable
116,enelpi,900378212,news45648,Sector,Macroeconomia
117,enelpi,900378212,news45659,No Aplica,Descartable
118,enelpi,900378212,news45667,No Aplica,Innovacion
119,enelpi,900378212,news45678,Sector,Macroeconomia
120,enelpi,900378212,news45682,No Aplica,Descartable
121,enelpi,900378212,news45693,No Aplica,Descartable
122,enelpi,900378212,news46539,No Aplica,Descartable
123,enelpi,900378212,news50739,No Aplica,Reputacion
124,enelpi,900378212,news51404,Sector,Macroeconomia
125,enelpi,900378212,news51606,No Aplica,Descartable
126,enelpi,900378212,news53702,No Aplica,Macroeconomia
127,enelpi,900378212,news54698,No Aplica,Innovacion
128,enelpi,900378212,news54800,No Aplica,Macroeconomia
129,enelpi,900378212,news56651,No Aplica,Descartable
130,enelpi,900378212,news59567,No Aplica,Sostenibilidad
